Product Description ,Price(Dollar),Number of reviews,Real price(Dollar),Free days,Shipment,Delivery Date,,,,,,,,,
"SAMSUNG EVO Select Micro SD-Memory-Card + Adapter, 256GB microSDXC 130MB/s Full HD & 4K UHD, UHS-I, U3, A2, V30, Expanded Storage for Android Smartphones, Tablets, Nintendo-Switch (MB-ME256KA/AM)",17,"53,545",39.99,90 days FREE. Terms apply.,Ships to Bangladesh,"Thu, Jun 15",,,,,,,,,
Fujifilm Instax Mini Instant Film Twin Pack (White),13,"114,526",24.70,90 days FREE. Terms apply.,Ships to Bangladesh,"Thu, Jun 15",,,,,,,,,
"DJI Mini 3 Pro (DJI RC) – Lightweight and Foldable Camera Drone with 4K/60fps Video, 48MP Photo, 34-min Flight Time, Tri-Directional Obstacle Sensing, Ideal for Aerial Photography and Social Media",909,"5,429",499.99,90 days FREE. Terms apply.,Ships to Bangladesh,"Thu, Jun 15",,,,,,,,,
"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",22,"48,200",33.49,90 days FREE. Terms apply.,Ships to Bangladesh,"Thu, Jun 15",,,,,,,,,
"Amazon Basics microSDXC Memory Card with Full Size Adapter, A2, U3, Read Speed up to 100 MB/s, 128 GB, Black/Customized",17,"38,338",34.99,90 days FREE. Terms apply.,Ships to Bangladesh,"Thu, Jun 15",,,,,,,,,
"WYZE Cam Pan v3 Indoor/Outdoor IP65-Rated 1080p Pan/Tilt/Zoom Wi-Fi Smart Home Security Camera with Motion Tracking for Baby & Pet, Color Night Vision, 2-Way Audio, Works with Alexa & Google Assistant",39,"2,405",18.99,90 days FREE. Terms apply.,Ships to Bangladesh,"Thu, Jun 15",,,,,,,,,
"GoPro HERO11 Black - Waterproof Action Camera with 5.3K60 Ultra HD Video, 27MP Photos, 1/1.9"" Image Sensor, Live Streaming, Webcam, Stabilization",399,570,45.99,90 days FREE. Terms apply.,Ships to Bangladesh,"Thu, Jun 15",,,,,,,,,
"SanDisk 128GB Extreme PRO SDXC UHS-I Memory Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXD-128G-GN4IN",21,"14,772",429.00,90 days FREE. Terms apply.,Ships to Bangladesh,"Thu, Jun 15",,,,,,,,,
"WYZE Cam OG 1080p HD Wi-Fi Security Camera - Indoor/Outdoor, Color Night Vision, Spotlight, 2-Way Audio, Cloud & Local storage- Ideal for Home Security, Baby, Pet Monitoring - Alexa & Google Assistant",29,"1,115",15.39,90 days FREE. Terms apply.,Ships to Bangladesh,"Thu, Jun 15",,,,,,,,,
"Kasa Indoor Pan/Tilt Smart Security Camera, 1080p HD Dog Camera 2.4GHz with Night Vision, Motion Detection for Baby and Pet Monitor, Cloud & SD Card Storage, Works with Alexa & Google Home (EC70)",29,"15,499",18.99,Save $5.00 Details,Ships to Bangladesh,"Thu, Jun 15",,,,,,,,,
