Product Description,Price(Dollar),Number of  reviews,Free days,Shipment
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,90,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS ROG Strix G16 (2023) Gaming Laptop, 16î 16:10 FHD 165Hz, GeForce RTX 4060, Intel Core i7-13650HX, 16GB DDR5, 512GB PCIe SSD, Wi-Fi 6E, Windows 11, G614JV-AS73, Eclipse Gray","1,329","3,153",90 days FREE. Terms apply.,Ships to Bangladesh
"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond",420,"2,303",90 days FREE. Terms apply.,Ships to Bangladesh
"SAMSUNG Galaxy Tab S6 Lite 10.4"" 64GB Android Tablet, S Pen Included, Slim Metal Design, AKG Dual Speakers, Long Lasting Battery, US Version, 2020, Oxford Gray",249,"2,324",90 days FREE. Terms apply.,Ships to Bangladesh
"CyberpowerPC Gamer Xtreme VR Gaming PC, Intel Core i7-12700F 2.1GHz, GeForce RTX 3060 12GB, 16GB DDR4, 1TB NVMe SSD, WiFi & Win 11 Home (GXiVR8040A12), Black","1,169","1,563",90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS TUF Gaming F15 Gaming Laptop, 15.6î 144Hz FHD Display, Intel Core i5-11400H Processor, GeForce RTX 2050, 8GB DDR4 RAM, 512GB PCIe SSD Gen 3, Wi-Fi 6, Windows 11, FX506HF-ES51",699,"15,471",90 days FREE. Terms apply.,Ships to Bangladesh
"SAMSUNG Galaxy Tab A8 10.5î 32GB Android Tablet, LCD Screen, Kids Content, Smart Switch, Long Lasting Battery, US Version, 2022, Dark Gray",199,242,90 days FREE. Terms apply.,Ships to Bangladesh
"Dell 2022 Newest Inspiron 15 Laptop, 15.6"" HD Display, Intel Celeron N4020 Processor, 16GB DDR4 RAM, 1TB PCIe SSD, Webcam, HDMI, Wi-Fi, Bluetooth, Windows 11 Home, Black",392,"14,584",90 days FREE. Terms apply.,Ships to Bangladesh
"SAMSUNG Galaxy Tab A7 Lite 8.7"" 32GB WiFi Android Tablet, Compact, Slim Design, Kid Friendly, Sturdy Metal Frame, Long Lasting Battery, US Version, 2021, Silver",158,"1,852",90 days FREE. Terms apply.,Ships to Bangladesh
"MSI Thin GF63 15.6"" 144Hz Gaming Laptop: 12th Gen Intel Core i7, NVIDIA GeForce RTX 4050, 16GB DDR4, 512GB NVMe SSD, Type-C, Cooler Boost 5, Win11 Home: Black 12VE-066US",999,616,90 days FREE. Terms apply.,Ships to Bangladesh
Acer Aspire Vero AV15-51-7617 Green PC | 15.6" FHD IPS 100% sRGB-Display | 11th Gen Intel Core i7-1195G7 | Intel Iris Xe Graphics | 16GB DDR4 | 512GB NVMe SSD | Wi-Fi 6 | PCR Materials | Vero-Sleeve,699,212,90 days FREE. Terms apply.,Ships to Bangladesh
"Samsung Chromebook 4 (2021 Model) 11.6"" Intel UHD Graphics 600, Intel Celeron Processor N4020, 4GB, 16GB- Wi-Fi - Satin Gray- (XE310XBA-KB1US)",167,752,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo IdeaPad Gaming 3 - (2022) - Essential Gaming Laptop Computer - 15.6" FHD - 120Hz - AMD Ryzen 5 6600H - NVIDIA GeForce RTX 3050 - 8GB DDR5 RAM - 256GB NVMe Storage - Windows 11 Home,686,"1,015",90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo - 2022 - IdeaPad Flex 5i - 2-in-1 Chromebook Laptop Computer - Intel Core i3-1115G4 - 13.3" FHD Touch Display - 8GB Memory - 128GB Storage - Chrome OS,373,560,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS ROG Strix G16 (2023) Gaming Laptop, 16î 16:10 FHD 165Hz, GeForce RTX 4070, Intel Core i9-13980HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JI-AS94, Eclipse Gray","1,999",688,90 days FREE. Terms apply.,Ships to Bangladesh
Acer Aspire TC-1760-UA92 Desktop | 12th Gen Intel Core i5-12400 6-Core Processor | 12GB 3200MHz DDR4 | 512GB NVMe M.2 SSD | 8X DVD | Intel Wireless Wi-Fi 6 AX201 | Bluetooth 5.2 | Windows 11 Home,619,118,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 2023 15'' HD IPS Laptop, Windows 11, Intel Pentium 4-Core Processor Up to 2.70GHz, 8GB RAM, 128GB SSD, HDMI, Super-Fast 6th Gen WiFi, Dale Red (Renewed)",285,"14,449",90 days FREE. Terms apply.,Ships to Bangladesh
"SAMSUNG Galaxy Tab S7+ Plus 12.4î 128GB Android Tablet w/ S Pen Included, Edge-to-Edge Display, Expandable Storage, Fast Charging USB-C Port, SM-T970NZKAXAR, Mystic Black",699,356,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo - 2022 - IdeaPad 3i - Essential Laptop Computer - Intel Core i5 12th Gen - 15.6" FHD Display - 8GB Memory - 512GB Storage - Windows 11 Pro,549,"2,527",90 days FREE. Terms apply.,Ships to Bangladesh
